方案,求解状态,有可行解,运行时间_s,MIPGap,OperatingCost_CNY,CarbonEmission_tCO2,Curtailment_MWh,CurtailmentRate,RenewableUtilization,PeakByRegion
Pareto_E3_Q2,OPTIMAL,1,15.02999997138977,0.0,-435195092.7261525,534.1378977967175,3599972.217586271,0.3116651728600911,0.6883348271399089,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 111.68754624000007, 'RegionE': 74.32416666666666, 'RegionF': 88.66108333332261}"
Pareto_E3_Q3,OPTIMAL,1,0.8819999694824219,0.0,-435195092.7261525,534.1378977967175,3646665.212269151,0.3157075874620995,0.6842924125379005,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 111.68754624000007, 'RegionE': 74.32416666666666, 'RegionF': 88.66108333332261}"
最低碳排放端点_联合协调,REUSED,1,0.0,0.0,,,,,,
最低碳排放端点_联合协调_影子价格_1,OPTIMAL,1,0.1280000209808349,0.0,-435155777.8465401,2.000099545252649e-06,3645139.599954697,0.3155755086023297,0.6844244913976703,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 8.677221454458346e-06, 'RegionF': 0.0}"
最低碳排放端点_联合协调_协调_1,OPTIMAL,1,1.0849997997283936,0.0,-451538970.5069335,2.000099545252649e-06,3559619.6196803795,0.3081716738435554,0.6918283261564446,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 4.4674995426684134e-06, 'RegionE': 0.0, 'RegionF': 0.0}"
最低碳排放端点_联合协调_影子价格_2,OPTIMAL,1,0.121999979019165,0.0,-451538970.5069335,2.000099545252649e-06,3557712.796344458,0.3080065918960614,0.6919934081039386,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 4.4674995426684134e-06, 'RegionE': 0.0, 'RegionF': 0.0}"
最低碳排放端点_联合协调_协调_2,OPTIMAL,1,0.9590001106262208,2.6171408737119387e-16,-455494355.49376655,0.0,3543297.25742988,0.3067585763125701,0.6932414236874299,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
最低碳排放端点_联合协调_影子价格_3,OPTIMAL,1,0.127000093460083,0.0,-455494355.49376655,0.0,3540678.0979948184,0.3065318243465163,0.6934681756534837,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
最低碳排放端点_联合协调_协调_3,OPTIMAL,1,0.9489998817443848,7.827909003541126e-16,-456862577.8487754,0.0,3538039.065031464,0.3063033518431205,0.6936966481568795,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
最高新能源利用率端点_联合协调,REUSED,1,0.0,0.0,,,,,,
最高新能源利用率端点_联合协调_影子价格_1,OPTIMAL,1,0.1989998817443847,0.0,-434491121.8591982,101.15662471164522,3553279.221748329,0.3076227581580841,0.6923772418419158,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 74.32416666666666, 'RegionF': 45.00247666666826}"
最高新能源利用率端点_联合协调_协调_1,OPTIMAL,1,1.6589999198913574,0.0,-451348437.862856,82.72006453621654,3553279.2217483176,0.307622758158083,0.692377241841917,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 76.0504004266734, 'RegionE': 0.0, 'RegionF': 0.0}"
最高新能源利用率端点_联合协调_影子价格_2,OPTIMAL,1,0.1380000114440918,0.0,-451348437.862856,82.72006453621654,3553279.2217483334,0.3076227581580844,0.6923772418419156,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 76.0504004266734, 'RegionE': 0.0, 'RegionF': 0.0}"
最高新能源利用率端点_联合协调_协调_2,OPTIMAL,1,1.064000129699707,3.924835359780269e-16,-455596013.4240707,0.0,3542785.7537801927,0.306714293228212,0.693285706771788,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
最高新能源利用率端点_联合协调_影子价格_3,OPTIMAL,1,0.1289999485015869,0.0,-455596013.4240707,0.0,3540050.8856718894,0.3064775238616152,0.6935224761383848,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
最高新能源利用率端点_联合协调_协调_3,OPTIMAL,1,1.121000051498413,7.825291545866719e-16,-457015392.4057197,0.0,3537090.146001497,0.3062211998164854,0.6937788001835146,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
Pareto_E1_Q2_联合协调,REUSED,1,0.0,0.0,,,,,,
Pareto_E1_Q2_联合协调_影子价格_1,OPTIMAL,1,0.1600000858306884,0.0,-435155777.8464526,1.000099545252649e-06,3599972.216431201,0.3116651727600917,0.6883348272399082,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 4.3388266605321e-06, 'RegionF': 0.0}"
Pareto_E1_Q2_联合协调_协调_1,OPTIMAL,1,3.227999925613404,0.0,-451538970.5068822,1.000099545252649e-06,3559618.8213001043,0.3081716047243202,0.6918283952756799,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 2.2338609453934536e-06, 'RegionE': 0.0, 'RegionF': 0.0}"
Pareto_E1_Q2_联合协调_影子价格_2,OPTIMAL,1,0.121999979019165,0.0,-451538970.5068822,1.000099545252649e-06,3557491.8426626185,0.3079874629797025,0.6920125370202975,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 2.2338609453934536e-06, 'RegionE': 0.0, 'RegionF': 0.0}"
Pareto_E1_Q2_联合协调_协调_2,OPTIMAL,1,0.9010000228881836,2.6171408737119387e-16,-455494355.49376655,0.0,3543297.25742988,0.3067585763125701,0.6932414236874299,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
Pareto_E1_Q2_联合协调_影子价格_3,OPTIMAL,1,0.1469998359680175,0.0,-455494355.49376655,0.0,3540678.0979948184,0.3065318243465163,0.6934681756534837,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
Pareto_E1_Q2_联合协调_协调_3,OPTIMAL,1,0.93500018119812,7.827909003541126e-16,-456862577.8487754,0.0,3538039.065031464,0.3063033518431205,0.6936966481568795,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 0.0, 'RegionF': 0.0}"
Pareto_E2_Q2_联合协调,REUSED,1,0.0,0.0,,,,,,
Pareto_E2_Q2_联合协调_影子价格_1,OPTIMAL,1,0.1489999294281005,0.0,-435177716.35797465,267.0689493984085,3599972.216431199,0.3116651727600915,0.6883348272399085,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 0.0, 'RegionE': 74.32416666666666, 'RegionF': 45.963542486658774}"
Pareto_E2_Q2_联合协调_协调_1,OPTIMAL,1,1.1410000324249268,0.0,-451559566.5659988,66.9960265148817,3559568.0682572406,0.3081672108137783,0.6918327891862217,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 58.50482709333346, 'RegionE': 0.0, 'RegionF': 0.0}"
