TaskID,OriginalRegion,NewRegion,OriginalStartHour,NewStartHour,EstimatedEnergySaving_CNY,Scenario,Iteration
35968,RegionD,RegionD,2011.0,2020.0,17179.8783999999,最低碳排放端点_联合协调,2
12058,RegionD,RegionD,2327.0,2331.0,17157.007018666063,最低碳排放端点_联合协调,2
5528,RegionD,RegionF,329.0,325.0,17133.982924799853,最低碳排放端点_联合协调,2
43387,RegionD,RegionD,1534.0,1539.0,17099.73503999957,最低碳排放端点_联合协调,2
9088,RegionD,RegionE,1097.0,1094.0,17099.085516800104,最低碳排放端点_联合协调,2
9756,RegionD,RegionD,2153.0,2148.0,17097.68857599934,最低碳排放端点_联合协调,2
8893,RegionD,RegionF,452.0,442.0,17096.167765333386,最低碳排放端点_联合协调,2
16711,RegionF,RegionE,1560.0,1560.0,17059.241472,最低碳排放端点_联合协调,2
16556,RegionD,RegionD,1969.0,1973.0,17030.3488,最低碳排放端点_联合协调,2
44456,RegionD,RegionD,1005.0,1011.0,17004.812697600108,最低碳排放端点_联合协调,2
37747,RegionD,RegionE,2181.0,2181.0,16959.43065600018,最低碳排放端点_联合协调,2
42618,RegionD,RegionD,2321.0,2314.0,16948.665343999997,最低碳排放端点_联合协调,2
30262,RegionD,RegionE,1941.0,1939.0,16911.806054399633,最低碳排放端点_联合协调,2
49526,RegionD,RegionD,2038.0,2043.0,16911.319040000002,最低碳排放端点_联合协调,2
1636,RegionD,RegionE,1437.0,1436.0,16899.927859200245,最低碳排放端点_联合协调,2
45468,RegionD,RegionE,332.0,323.0,16893.016473600102,最低碳排放端点_联合协调,2
6082,RegionD,RegionD,648.0,651.0,16860.186624,最低碳排放端点_联合协调,2
32984,RegionD,RegionE,2185.0,2185.0,16850.878463999998,最低碳排放端点_联合协调,2
40500,RegionD,RegionD,1608.0,1612.0,16835.05152,最低碳排放端点_联合协调,2
22526,RegionD,RegionD,1678.0,1683.0,16833.82272,最低碳排放端点_联合协调,2
4248,RegionD,RegionE,2249.0,2243.0,16821.285887999114,最低碳排放端点_联合协调,2
1295,RegionD,RegionF,2230.0,2230.0,16807.95607040075,最低碳排放端点_联合协调,2
49431,RegionD,RegionF,2181.0,2188.0,16787.845939199833,最低碳排放端点_联合协调,2
29863,RegionD,RegionE,809.0,800.0,16784.39864320017,最低碳排放端点_联合协调,2
18499,RegionD,RegionD,217.0,220.0,16746.369024,最低碳排放端点_联合协调,2
36064,RegionD,RegionB,209.0,206.0,16714.7637418667,最低碳排放端点_联合协调,2
16655,RegionD,RegionD,2328.0,2331.0,16707.526656000002,最低碳排放端点_联合协调,2
36723,RegionD,RegionE,2015.0,2013.0,16692.1216,最低碳排放端点_联合协调,2
18943,RegionF,RegionF,1485.0,1494.0,16624.139878399925,最低碳排放端点_联合协调,2
42434,RegionF,RegionD,1821.0,1823.0,16604.51868319972,最低碳排放端点_联合协调,2
3490,RegionD,RegionD,2040.0,2043.0,16603.840512,最低碳排放端点_联合协调,2
5819,RegionD,RegionD,2037.0,2043.0,16603.840512,最低碳排放端点_联合协调,2
35961,RegionD,RegionD,933.0,939.0,16595.185664000004,最低碳排放端点_联合协调,2
2376,RegionD,RegionD,2186.0,2189.0,16593.002496,最低碳排放端点_联合协调,2
23853,RegionD,RegionE,1053.0,1052.0,16577.83883093369,最低碳排放端点_联合协调,2
24087,RegionD,RegionD,812.0,798.0,16577.632665599842,最低碳排放端点_联合协调,2
28341,RegionD,RegionF,597.0,596.0,16531.292159999997,最低碳排放端点_联合协调,2
20565,RegionD,RegionD,1220.0,1210.0,16495.523839999998,最低碳排放端点_联合协调,2
